,NK,population,softmax param,mutation rate,results
41,"(20, 3)",200,0.1,0.07,"[[11.598122  12.013786  11.274001  ... 14.661647  12.430151  14.677979 ]
 [ 7.7130814  8.396258   8.969359  ...  9.743827  12.358252  13.074242 ]
 [11.820665  11.206868  11.013053  ... 17.17213   18.319534  15.23179  ]
 ...
 [12.137315  13.763674  15.081384  ... 15.129353  15.86841   13.628142 ]
 [13.332812  13.332812  14.222625  ... 14.6898    15.337265  13.933133 ]
 [10.010543  10.355819  11.120695  ... 12.448455  12.511669  10.119707 ]]"
42,"(20, 3)",200,0.1,0.03,"[[11.751119  13.243254  10.9561    ... 16.458336  15.616582  14.739486 ]
 [ 7.7130814  9.324122  10.592005  ... 10.235665  10.413613  10.362686 ]
 [10.858442  13.22393   12.535218  ... 12.063718  13.988999  16.52702  ]
 ...
 [11.242544  12.634568  13.477122  ... 17.065685  14.447514  14.284507 ]
 [13.332812  11.524213  14.193677  ... 13.843223  11.981609  10.943088 ]
 [ 9.6558485 10.8310175 10.445919  ... 10.293872   9.267038  12.199179 ]]"
43,"(20, 3)",200,0.1,0.01,"[[11.7366295 12.059877  12.008295  ... 14.274384  13.857885  14.068809 ]
 [10.03515   11.250695  10.059118  ... 10.334357   8.750067  10.696601 ]
 [10.858442  12.169202  11.792795  ... 11.426078  11.56476   11.533795 ]
 ...
 [12.233326  13.868652  14.166071  ... 19.197044  17.334295  14.736452 ]
 [14.222625  11.812812  14.736492  ... 13.212523  14.447591  11.503421 ]
 [10.426494  10.590423  10.575017  ... 10.504496  12.911551  12.102227 ]]"
44,"(20, 3)",200,0.01,0.1,"[[11.478972  11.625425  11.625425  ... 11.620817  13.20899   13.958505 ]
 [ 7.7130814  8.416724  11.072303  ...  7.6254525  8.527511   8.936223 ]
 [11.820665  13.088285  12.0745125 ... 12.309021  12.215008   9.473937 ]
 ...
 [11.9929285 12.427208  11.758546  ... 11.059648  11.268446  11.497112 ]
 [11.991576  11.991576  12.255247  ... 11.038785   8.487388  12.368483 ]
 [10.010543  11.013227  10.762955  ...  9.472332   9.866204  11.261979 ]]"
45,"(20, 3)",200,0.01,0.07,"[[11.478972  15.106423  13.532041  ... 12.277915  14.64595   10.922551 ]
 [ 7.7130814  8.416724   9.2965765 ...  9.670198  10.571288  11.066511 ]
 [11.090361  11.106854  10.393681  ...  9.92261    9.767322   9.906012 ]
 ...
 [13.180337  15.620195  13.774014  ... 15.023262  12.515781  10.111345 ]
 [11.991576  11.925343  13.754325  ... 13.425261  11.919412  10.472386 ]
 [10.010543  10.355819  10.246483  ... 10.214485  11.173864  10.2128725]]"
46,"(20, 3)",200,0.01,0.03,"[[12.567624  13.243254  13.019851  ... 14.230246  13.623995  14.772863 ]
 [ 8.715463   8.938697  10.04421   ...  7.6361427 10.415074   8.948589 ]
 [10.858442  12.336154  10.513711  ...  9.493352  13.356608  11.908675 ]
 ...
 [14.428433  11.581043  11.654966  ... 12.489566   9.407741  11.965826 ]
 [11.524213  10.531032  13.754325  ... 12.776422  13.627663  11.243955 ]
 [ 9.6558485 10.09147   10.312     ... 10.627967  12.199179   8.585197 ]]"
47,"(20, 3)",200,0.01,0.01,"[[12.567624  15.273928  14.777814  ... 11.608341  13.010105  13.350363 ]
 [10.03515   11.138689   9.2243395 ... 12.754715   8.25887    8.513911 ]
 [10.858442  13.421487  11.900385  ... 11.848836   9.1967535 10.844592 ]
 ...
 [14.428433  11.410717  12.38162   ... 11.540845  15.633448  15.169048 ]
 [10.605716  11.812812  12.098545  ... 12.165163   9.733013   9.721079 ]
 [ 9.557933   9.017492  11.069037  ... 10.666455  11.711258   9.020339 ]]"
48,"(20, 10)",50,10.0,0.1,"[[10.139126  11.794058  11.831564  ... 16.15009   16.15009   16.15009  ]
 [13.091209  13.091209  13.091209  ... 17.519781  17.519781  17.519781 ]
 [11.765096  11.765096  11.765096  ... 19.085127  19.085127  19.085127 ]
 ...
 [ 9.872403  12.594547  14.746197  ... 17.020391  17.020391  17.020391 ]
 [ 9.3394985 11.345644  11.965746  ... 14.804116  14.804116  14.804116 ]
 [14.444993  14.444993  14.444993  ... 13.981285  13.981285  13.981285 ]]"
49,"(20, 10)",50,10.0,0.07,"[[10.139126  11.794058  11.831564  ... 20.80112   20.80112   20.80112  ]
 [13.091209  12.724013  12.724013  ... 16.332006  16.332006  16.332006 ]
 [11.010122  11.010122  11.754659  ... 15.805579  15.209421  15.209421 ]
 ...
 [ 9.872403  12.594547  14.39202   ... 17.020391  17.020391  17.020391 ]
 [ 7.1771846 10.138535  10.138535  ... 17.108328  17.108328  17.108328 ]
 [ 7.5709295 13.323902  12.396859  ... 15.635437  15.635437  15.635437 ]]"
50,"(20, 10)",50,10.0,0.03,"[[10.139126  11.794058  11.831564  ... 17.984344  17.984344  16.375355 ]
 [13.091209  12.259365  12.259365  ... 13.92333   13.92333   13.92333  ]
 [11.010122  12.403525  12.933105  ... 15.766672  10.537959  10.537959 ]
 ...
 [ 7.6666455 12.470075  12.470075  ... 15.829789  15.829789  15.829789 ]
 [11.245243   9.567722   9.894718  ... 14.2944355 10.608379  14.2944355]
 [ 7.5709295  6.526862  13.4924755 ... 13.781648  12.391796  14.5381   ]]"
